The format of each line in the txt is anno_name,anno_path,video_path,start_frame,end_frame
bike1,anno/UAV123/bike1.txt,data_seq/UAV123/bike1,1,3085
bike2,anno/UAV123/bike2.txt,data_seq/UAV123/bike2,1,553
bike3,anno/UAV123/bike3.txt,data_seq/UAV123/bike3,1,433
bird1_1,anno/UAV123/bird1_1.txt,data_seq/UAV123/bird1,1,253
bird1_2,anno/UAV123/bird1_2.txt,data_seq/UAV123/bird1,775,1477
bird1_3,anno/UAV123/bird1_3.txt,data_seq/UAV123/bird1,1573,2437
boat1,anno/UAV123/boat1.txt,data_seq/UAV123/boat1,1,901
boat2,anno/UAV123/boat2.txt,data_seq/UAV123/boat2,1,799
boat3,anno/UAV123/boat3.txt,data_seq/UAV123/boat3,1,901
boat4,anno/UAV123/boat4.txt,data_seq/UAV123/boat4,1,553
boat5,anno/UAV123/boat5.txt,data_seq/UAV123/boat5,1,505
boat6,anno/UAV123/boat6.txt,data_seq/UAV123/boat6,1,805
boat7,anno/UAV123/boat7.txt,data_seq/UAV123/boat7,1,535
boat8,anno/UAV123/boat8.txt,data_seq/UAV123/boat8,1,685
boat9,anno/UAV123/boat9.txt,data_seq/UAV123/boat9,1,1399
building1,anno/UAV123/building1.txt,data_seq/UAV123/building1,1,469
building2,anno/UAV123/building2.txt,data_seq/UAV123/building2,1,577
building3,anno/UAV123/building3.txt,data_seq/UAV123/building3,1,829
building4,anno/UAV123/building4.txt,data_seq/UAV123/building4,1,787
building5,anno/UAV123/building5.txt,data_seq/UAV123/building5,1,481
car10,anno/UAV123/car10.txt,data_seq/UAV123/car10,1,1405
car11,anno/UAV123/car11.txt,data_seq/UAV123/car11,1,337
car12,anno/UAV123/car12.txt,data_seq/UAV123/car12,1,499
car13,anno/UAV123/car13.txt,data_seq/UAV123/car13,1,415
car14,anno/UAV123/car14.txt,data_seq/UAV123/car14,1,1327
car15,anno/UAV123/car15.txt,data_seq/UAV123/car15,1,469
car16_1,anno/UAV123/car16_1.txt,data_seq/UAV123/car16,1,415
car16_2,anno/UAV123/car16_2.txt,data_seq/UAV123/car16,415,1993
car17,anno/UAV123/car17.txt,data_seq/UAV123/car17,1,1057
car18,anno/UAV123/car18.txt,data_seq/UAV123/car18,1,1207
car1_1,anno/UAV123/car1_1.txt,data_seq/UAV123/car1,1,751
car1_2,anno/UAV123/car1_2.txt,data_seq/UAV123/car1,751,1627
car1_3,anno/UAV123/car1_3.txt,data_seq/UAV123/car1,1627,2629
car1_s,anno/UAV123/car1_s.txt,data_seq/UAV123/car1_s,1,1475
car2,anno/UAV123/car2.txt,data_seq/UAV123/car2,1,1321
car2_s,anno/UAV123/car2_s.txt,data_seq/UAV123/car2_s,1,320
car3,anno/UAV123/car3.txt,data_seq/UAV123/car3,1,1717
car3_s,anno/UAV123/car3_s.txt,data_seq/UAV123/car3_s,1,1300
car4,anno/UAV123/car4.txt,data_seq/UAV123/car4,1,1345
car4_s,anno/UAV123/car4_s.txt,data_seq/UAV123/car4_s,1,830
car5,anno/UAV123/car5.txt,data_seq/UAV123/car5,1,745
car6_1,anno/UAV123/car6_1.txt,data_seq/UAV123/car6,1,487
car6_2,anno/UAV123/car6_2.txt,data_seq/UAV123/car6,487,1807
car6_3,anno/UAV123/car6_3.txt,data_seq/UAV123/car6,1807,2953
car6_4,anno/UAV123/car6_4.txt,data_seq/UAV123/car6,2953,3925
car6_5,anno/UAV123/car6_5.txt,data_seq/UAV123/car6,3925,4861
car7,anno/UAV123/car7.txt,data_seq/UAV123/car7,1,1033
car8_1,anno/UAV123/car8_1.txt,data_seq/UAV123/car8,1,1357
car8_2,anno/UAV123/car8_2.txt,data_seq/UAV123/car8,1357,2575
car9,anno/UAV123/car9.txt,data_seq/UAV123/car9,1,1879
group1_1,anno/UAV123/group1_1.txt,data_seq/UAV123/group1,1,1333
group1_2,anno/UAV123/group1_2.txt,data_seq/UAV123/group1,1333,2515
group1_3,anno/UAV123/group1_3.txt,data_seq/UAV123/group1,2515,3925
group1_4,anno/UAV123/group1_4.txt,data_seq/UAV123/group1,3925,4873
group2_1,anno/UAV123/group2_1.txt,data_seq/UAV123/group2,1,907
group2_2,anno/UAV123/group2_2.txt,data_seq/UAV123/group2,907,1771
group2_3,anno/UAV123/group2_3.txt,data_seq/UAV123/group2,1771,2683
group3_1,anno/UAV123/group3_1.txt,data_seq/UAV123/group3,1,1567
group3_2,anno/UAV123/group3_2.txt,data_seq/UAV123/group3,1567,2827
group3_3,anno/UAV123/group3_3.txt,data_seq/UAV123/group3,2827,4369
group3_4,anno/UAV123/group3_4.txt,data_seq/UAV123/group3,4369,5527
person1,anno/UAV123/person1.txt,data_seq/UAV123/person1,1,799
person10,anno/UAV123/person10.txt,data_seq/UAV123/person10,1,1021
person11,anno/UAV123/person11.txt,data_seq/UAV123/person11,1,721
person12_1,anno/UAV123/person12_1.txt,data_seq/UAV123/person12,1,601
person12_2,anno/UAV123/person12_2.txt,data_seq/UAV123/person12,601,1621
person13,anno/UAV123/person13.txt,data_seq/UAV123/person13,1,883
person14_1,anno/UAV123/person14_1.txt,data_seq/UAV123/person14,1,847
person14_2,anno/UAV123/person14_2.txt,data_seq/UAV123/person14,847,1813
person14_3,anno/UAV123/person14_3.txt,data_seq/UAV123/person14,1813,2923
person15,anno/UAV123/person15.txt,data_seq/UAV123/person15,1,1339
person16,anno/UAV123/person16.txt,data_seq/UAV123/person16,1,1147
person17_1,anno/UAV123/person17_1.txt,data_seq/UAV123/person17,1,1501
person17_2,anno/UAV123/person17_2.txt,data_seq/UAV123/person17,1501,2347
person18,anno/UAV123/person18.txt,data_seq/UAV123/person18,1,1393
person19_1,anno/UAV123/person19_1.txt,data_seq/UAV123/person19,1,1243
person19_2,anno/UAV123/person19_2.txt,data_seq/UAV123/person19,1243,2791
person19_3,anno/UAV123/person19_3.txt,data_seq/UAV123/person19,2791,4357
person1_s,anno/UAV123/person1_s.txt,data_seq/UAV123/person1_s,1,1600
person20,anno/UAV123/person20.txt,data_seq/UAV123/person20,1,1783
person21,anno/UAV123/person21.txt,data_seq/UAV123/person21,1,487
person22,anno/UAV123/person22.txt,data_seq/UAV123/person22,1,199
person23,anno/UAV123/person23.txt,data_seq/UAV123/person23,1,397
person2_1,anno/UAV123/person2_1.txt,data_seq/UAV123/person2,1,1189
person2_2,anno/UAV123/person2_2.txt,data_seq/UAV123/person2,1189,2623
person2_s,anno/UAV123/person2_s.txt,data_seq/UAV123/person2_s,1,250
person3,anno/UAV123/person3.txt,data_seq/UAV123/person3,1,643
person3_s,anno/UAV123/person3_s.txt,data_seq/UAV123/person3_s,1,505
person4_1,anno/UAV123/person4_1.txt,data_seq/UAV123/person4,1,1501
person4_2,anno/UAV123/person4_2.txt,data_seq/UAV123/person4,1501,2743
person5_1,anno/UAV123/person5_1.txt,data_seq/UAV123/person5,1,877
person5_2,anno/UAV123/person5_2.txt,data_seq/UAV123/person5,877,2101
person6,anno/UAV123/person6.txt,data_seq/UAV123/person6,1,901
person7_1,anno/UAV123/person7_1.txt,data_seq/UAV123/person7,1,1249
person7_2,anno/UAV123/person7_2.txt,data_seq/UAV123/person7,1249,2065
person8_1,anno/UAV123/person8_1.txt,data_seq/UAV123/person8,1,1075
person8_2,anno/UAV123/person8_2.txt,data_seq/UAV123/person8,1075,1525
person9,anno/UAV123/person9.txt,data_seq/UAV123/person9,1,661
truck1,anno/UAV123/truck1.txt,data_seq/UAV123/truck1,1,463
truck2,anno/UAV123/truck2.txt,data_seq/UAV123/truck2,1,385
truck3,anno/UAV123/truck3.txt,data_seq/UAV123/truck3,1,535
truck4_1,anno/UAV123/truck4_1.txt,data_seq/UAV123/truck4,1,577
truck4_2,anno/UAV123/truck4_2.txt,data_seq/UAV123/truck4,577,1261
uav1_1,anno/UAV123/uav1_1.txt,data_seq/UAV123/uav1,1,1555
uav1_2,anno/UAV123/uav1_2.txt,data_seq/UAV123/uav1,1555,2377
uav1_3,anno/UAV123/uav1_3.txt,data_seq/UAV123/uav1,2473,3469
uav2,anno/UAV123/uav2.txt,data_seq/UAV123/uav2,1,133
uav3,anno/UAV123/uav3.txt,data_seq/UAV123/uav3,1,265
uav4,anno/UAV123/uav4.txt,data_seq/UAV123/uav4,1,157
uav5,anno/UAV123/uav5.txt,data_seq/UAV123/uav5,1,139
uav6,anno/UAV123/uav6.txt,data_seq/UAV123/uav6,1,109
uav7,anno/UAV123/uav7.txt,data_seq/UAV123/uav7,1,373
uav8,anno/UAV123/uav8.txt,data_seq/UAV123/uav8,1,301
wakeboard1,anno/UAV123/wakeboard1.txt,data_seq/UAV123/wakeboard1,1,421
wakeboard10,anno/UAV123/wakeboard10.txt,data_seq/UAV123/wakeboard10,1,469
wakeboard2,anno/UAV123/wakeboard2.txt,data_seq/UAV123/wakeboard2,1,733
wakeboard3,anno/UAV123/wakeboard3.txt,data_seq/UAV123/wakeboard3,1,823
wakeboard4,anno/UAV123/wakeboard4.txt,data_seq/UAV123/wakeboard4,1,697
wakeboard5,anno/UAV123/wakeboard5.txt,data_seq/UAV123/wakeboard5,1,1675
wakeboard6,anno/UAV123/wakeboard6.txt,data_seq/UAV123/wakeboard6,1,1165
wakeboard7,anno/UAV123/wakeboard7.txt,data_seq/UAV123/wakeboard7,1,199
wakeboard8,anno/UAV123/wakeboard8.txt,data_seq/UAV123/wakeboard8,1,1543
wakeboard9,anno/UAV123/wakeboard9.txt,data_seq/UAV123/wakeboard9,1,355
